,variable,instances,pos_instances,neg_instances,percent_fraud
0,com,9275,1035.0,8240.0,11.159029649595688
1,org,1801,7.0,1794.0,0.3886729594669628
2,k12.ca.us,5,0.0,5.0,0.0
3,net,405,32.0,373.0,7.901234567901234
4,bc.ca,10,0.0,10.0,0.0
5,org.uk,292,0.0,292.0,0.0
6,co.uk,709,106.0,603.0,14.950634696755994
7,ac.uk,66,0.0,66.0,0.0
8,cmu.edu,1,0.0,1.0,0.0
9,com.au,303,0.0,303.0,0.0
10,ca,385,12.0,373.0,3.116883116883117
11,mit.edu,2,0.0,2.0,0.0
12,edu,236,0.0,236.0,0.0
13,harvard.edu,5,0.0,5.0,0.0
14,cnc.net,20,0.0,20.0,0.0
15,org.au,76,0.0,76.0,0.0
16,nl,19,0.0,19.0,0.0
17,ly,63,0.0,63.0,0.0
18,gov,8,0.0,8.0,0.0
19,de,24,11.0,13.0,45.833333333333336
20,org.nz,15,0.0,15.0,0.0
21,coop,14,0.0,14.0,0.0
22,ws,1,0.0,1.0,0.0
23,nsw.gov.au,6,0.0,6.0,0.0
24,net.au,16,0.0,16.0,0.0
25,ie,28,0.0,28.0,0.0
26,fr,74,63.0,11.0,85.13513513513513
27,asn.au,6,0.0,6.0,0.0
28,blueskygr.com,1,0.0,1.0,0.0
29,us,31,0.0,31.0,0.0
30,com.mx,1,0.0,1.0,0.0
31,vn,2,2.0,0.0,100.0
32,stanford.edu,1,0.0,1.0,0.0
33,biz,23,4.0,19.0,17.391304347826086
34,rr.com,23,1.0,22.0,4.3478260869565215
35,info,13,0.0,13.0,0.0
36,com ,1,0.0,1.0,0.0
37,honda.com,11,0.0,11.0,0.0
38,lane.or.us,2,0.0,2.0,0.0
39,be,6,0.0,6.0,0.0
40,bristol.ac.uk,2,0.0,2.0,0.0
41,sc.edu,4,0.0,4.0,0.0
42,theiiba.org,2,0.0,2.0,0.0
43,es,6,0.0,6.0,0.0
44,at,2,0.0,2.0,0.0
45,com.vn,8,8.0,0.0,100.0
46,ru,3,2.0,1.0,66.66666666666667
47,grownyc.org,1,0.0,1.0,0.0
48,blackberry.net,4,0.0,4.0,0.0
49,edu.au,22,0.0,22.0,0.0
50,ab.ca,8,0.0,8.0,0.0
51,gov.uk,20,0.0,20.0,0.0
52,bcs.org.uk,3,0.0,3.0,0.0
53,gov.au,13,0.0,13.0,0.0
54,eastersealsucp.com,1,0.0,1.0,0.0
55,utah.gov,2,0.0,2.0,0.0
56,ox.ac.uk,2,0.0,2.0,0.0
57,pacific.edu,1,0.0,1.0,0.0
58,co,17,0.0,17.0,0.0
59,eu,8,0.0,8.0,0.0
60,alpfa.org,3,0.0,3.0,0.0
61,it,2,1.0,1.0,50.0
62,usna.com,1,0.0,1.0,0.0
63,esrd.net,2,0.0,2.0,0.0
64,tv,10,0.0,10.0,0.0
65,mil,1,0.0,1.0,0.0
66,libraries.coop,1,0.0,1.0,0.0
67,co.nz,24,0.0,24.0,0.0
68,aiga.org,9,0.0,9.0,0.0
69,ae,1,0.0,1.0,0.0
70,vic.edu.au,1,0.0,1.0,0.0
71,tamu.edu,1,0.0,1.0,0.0
72,salvationarmy.org,1,0.0,1.0,0.0
73,berkeley.edu,3,0.0,3.0,0.0
74,st-joseph.in.us,1,0.0,1.0,0.0
75,co.in,1,0.0,1.0,0.0
76,on.ca,17,0.0,17.0,0.0
77,iiba.org,6,0.0,6.0,0.0
78,gsi.gov.uk,2,0.0,2.0,0.0
79,nd.edu,1,0.0,1.0,0.0
80,qld.gov.au,4,0.0,4.0,0.0
81,umt.edu,1,0.0,1.0,0.0
82,drakeintl.com,2,0.0,2.0,0.0
83,health.nsw.gov.au,1,0.0,1.0,0.0
84,kyschools.us,1,0.0,1.0,0.0
85,cc,2,0.0,2.0,0.0
86,n-somerset.sch.uk,1,0.0,1.0,0.0
87,fm,2,0.0,2.0,0.0
88,montclair.edu,2,0.0,2.0,0.0
89,ucla.edu,4,0.0,4.0,0.0
90,uk.com,9,3.0,6.0,33.333333333333336
91,la,2,0.0,2.0,0.0
92,herts.sch.uk,2,0.0,2.0,0.0
93,no,1,0.0,1.0,0.0
94,co.id,1,1.0,0.0,100.0
95,co.jp,1,0.0,1.0,0.0
96,com.ar,4,1.0,3.0,25.0
97,grenoble-inp.fr,1,0.0,1.0,0.0
98,me,5,0.0,5.0,0.0
99,ucsd.edu,1,0.0,1.0,0.0
100,northwestern.edu,6,0.0,6.0,0.0
101,sh,1,0.0,1.0,0.0
102,mb.ca,1,0.0,1.0,0.0
103,ufl.edu,4,0.0,4.0,0.0
104,dcu.ie,2,0.0,2.0,0.0
105,ache.org,3,0.0,3.0,0.0
106,org.qa,1,0.0,1.0,0.0
107,k12.wi.us,1,0.0,1.0,0.0
108,is,1,0.0,1.0,0.0
109,sc,1,0.0,1.0,0.0
110,se,1,0.0,1.0,0.0
111,spingalactic.com,1,0.0,1.0,0.0
112,pw,3,3.0,0.0,100.0
113,redbull.com,1,0.0,1.0,0.0
114,caltech.edu,1,0.0,1.0,0.0
115,cfasociety.org,2,0.0,2.0,0.0
116,ua.edu,1,0.0,1.0,0.0
117,chop.edu,1,0.0,1.0,0.0
118,princeton.edu,1,0.0,1.0,0.0
119,insead.edu,4,0.0,4.0,0.0
120,frb.org,2,0.0,2.0,0.0
121,com.ng,1,0.0,1.0,0.0
122,qut.edu.au,1,0.0,1.0,0.0
123,wi.gov,1,0.0,1.0,0.0
124,upenn.edu,3,0.0,3.0,0.0
125,state.oh.us,2,0.0,2.0,0.0
126,io,2,0.0,2.0,0.0
127,cagbc.org,1,0.0,1.0,0.0
128,usc.edu,1,0.0,1.0,0.0
129,im,1,0.0,1.0,0.0
130,uakron.edu,1,0.0,1.0,0.0
131,qc.ca,2,0.0,2.0,0.0
132,unitedway.ca,1,0.0,1.0,0.0
133,k12.mn.us,1,0.0,1.0,0.0
134,lacity.org,1,0.0,1.0,0.0
135,freeserve.co.uk,1,0.0,1.0,0.0
136,pe.ca,1,0.0,1.0,0.0
137,framingham.edu,1,1.0,0.0,100.0
138,naz.edu,1,0.0,1.0,0.0
139,nhs.uk,1,0.0,1.0,0.0
140,wa.gov.au,2,0.0,2.0,0.0
141,cuny.edu,1,0.0,1.0,0.0
142,goethe.org,1,0.0,1.0,0.0
143,vc,1,0.0,1.0,0.0
144,vic.gov.au,1,0.0,1.0,0.0
145,co.za,1,0.0,1.0,0.0
146,sa.gov.au,1,0.0,1.0,0.0
147,or.us,1,0.0,1.0,0.0
