,variable,instances,pos_instances,neg_instances,percent_fraud
0,US,9234,619.0,8615.0,6.703487112843838
1,IE,48,0.0,48.0,0.0
2,FR,40,3.0,37.0,7.5
3,CA,1262,53.0,1209.0,4.199683042789223
4,GB,2083,294.0,1789.0,14.114258281325013
5,NO_COUNTRY,397,40.0,357.0,10.075566750629722
6,AU,742,15.0,727.0,2.0215633423180592
7,ES,27,1.0,26.0,3.7037037037037037
8,NL,36,6.0,30.0,16.666666666666668
9,DE,43,15.0,28.0,34.883720930232556
10,VN,32,31.0,1.0,96.875
11,MY,3,3.0,0.0,100.0
12,NZ,73,14.0,59.0,19.17808219178082
13,PK,22,21.0,1.0,95.45454545454545
14,MA,47,47.0,0.0,100.0
15,AR,8,4.0,4.0,50.0
16,MX,2,0.0,2.0,0.0
17,CH,6,6.0,0.0,100.0
18,SG,7,0.0,7.0,0.0
19,TH,6,0.0,6.0,0.0
20,BE,18,1.0,17.0,5.555555555555555
21,PH,15,15.0,0.0,100.0
22,A1,25,25.0,0.0,100.0
23,CI,9,9.0,0.0,100.0
24,AT,8,0.0,8.0,0.0
25,ID,12,10.0,2.0,83.33333333333333
26,PS,1,1.0,0.0,100.0
27,PT,2,1.0,1.0,50.0
28,TR,2,2.0,0.0,100.0
29,NI,1,0.0,1.0,0.0
30,KE,1,0.0,1.0,0.0
31,IT,4,0.0,4.0,0.0
32,HU,18,0.0,18.0,0.0
33,RS,3,1.0,2.0,33.333333333333336
34,RO,8,3.0,5.0,37.5
35,NG,7,6.0,1.0,85.71428571428571
36,CZ,7,7.0,0.0,100.0
37,PR,10,4.0,6.0,40.0
38,AE,1,0.0,1.0,0.0
39,BS,1,0.0,1.0,0.0
40,KH,4,4.0,0.0,100.0
41,JM,3,2.0,1.0,66.66666666666667
42,IN,4,1.0,3.0,25.0
43,NA,2,2.0,0.0,100.0
44,FI,4,2.0,2.0,50.0
45,HR,3,1.0,2.0,33.333333333333336
46,BG,4,3.0,1.0,75.0
47,VI,1,0.0,1.0,0.0
48,TJ,1,0.0,1.0,0.0
49,GH,3,3.0,0.0,100.0
50,PE,1,0.0,1.0,0.0
51,QA,2,1.0,1.0,50.0
52,SI,1,1.0,0.0,100.0
53,GR,2,0.0,2.0,0.0
54,BB,1,0.0,1.0,0.0
55,CM,2,2.0,0.0,100.0
56,IS,1,0.0,1.0,0.0
57,SE,3,0.0,3.0,0.0
58,RU,2,2.0,0.0,100.0
59,DZ,6,6.0,0.0,100.0
60,VE,1,0.0,1.0,0.0
61,UY,2,0.0,2.0,0.0
62,ZA,3,0.0,3.0,0.0
63,IM,1,0.0,1.0,0.0
64,LB,1,0.0,1.0,0.0
65,CR,1,0.0,1.0,0.0
66,IL,1,1.0,0.0,100.0
67,CN,2,2.0,0.0,100.0
68,DK,1,1.0,0.0,100.0
69,CO,1,1.0,0.0,100.0
70,EC,1,0.0,1.0,0.0
71,JE,1,1.0,0.0,100.0
