,variable,instances,pos_instances,neg_instances,percent_fraud
0,com,9646,1048,8598,10.864607091022185
1,org,2225,7,2218,0.3146067415730337
2,k12,8,0,8,0.0
3,ca,430,12,418,2.7906976744186047
4,us,46,0,46,0.0
5,net,447,32,415,7.158836689038031
6,bc,10,0,10,0.0
7,uk,1110,109,1001,9.81981981981982
8,co,755,107,648,14.172185430463577
9,ac,70,0,70,0.0
10,cmu,1,0,1,0.0
11,edu,320,1,319,0.3125
12,au,454,0,454,0.0
13,mit,2,0,2,0.0
14,harvard,5,0,5,0.0
15,cnc,20,0,20,0.0
16,nl,19,0,19,0.0
17,ly,63,0,63,0.0
18,gov,61,0,61,0.0
19,de,24,11,13,45.833333333333336
20,nz,39,0,39,0.0
21,coop,15,0,15,0.0
22,ws,1,0,1,0.0
23,nsw,7,0,7,0.0
24,ie,30,0,30,0.0
25,fr,75,63,12,84.0
26,asn,6,0,6,0.0
27,blueskygr,1,0,1,0.0
28,mx,1,0,1,0.0
29,vn,10,10,0,100.0
30,stanford,1,0,1,0.0
31,biz,23,4,19,17.391304347826086
32,rr,23,1,22,4.3478260869565215
33,info,13,0,13,0.0
34,com ,1,0,1,0.0
35,honda,11,0,11,0.0
36,lane,2,0,2,0.0
37,or,3,0,3,0.0
38,be,6,0,6,0.0
39,bristol,2,0,2,0.0
40,sc,5,0,5,0.0
41,theiiba,2,0,2,0.0
42,es,6,0,6,0.0
43,at,2,0,2,0.0
44,ru,3,2,1,66.66666666666667
45,grownyc,1,0,1,0.0
46,blackberry,4,0,4,0.0
47,ab,8,0,8,0.0
48,bcs,3,0,3,0.0
49,eastersealsucp,1,0,1,0.0
50,utah,2,0,2,0.0
51,ox,2,0,2,0.0
52,pacific,1,0,1,0.0
53,eu,8,0,8,0.0
54,alpfa,3,0,3,0.0
55,it,2,1,1,50.0
56,usna,1,0,1,0.0
57,esrd,2,0,2,0.0
58,tv,10,0,10,0.0
59,mil,2,0,2,0.0
60,libraries,1,0,1,0.0
61,aiga,9,0,9,0.0
62,ae,1,0,1,0.0
63,vic,2,0,2,0.0
64,tamu,1,0,1,0.0
65,salvationarmy,1,0,1,0.0
66,berkeley,3,0,3,0.0
67,st-joseph,1,0,1,0.0
68,in,2,0,2,0.0
69,on,17,0,17,0.0
70,iiba,6,0,6,0.0
71,gsi,2,0,2,0.0
72,nd,1,0,1,0.0
73,qld,4,0,4,0.0
74,umt,1,0,1,0.0
75,drakeintl,2,0,2,0.0
76,health,1,0,1,0.0
77,kyschools,1,0,1,0.0
78,cc,2,0,2,0.0
79,n-somerset,1,0,1,0.0
80,sch,3,0,3,0.0
81,fm,2,0,2,0.0
82,montclair,2,0,2,0.0
83,ucla,4,0,4,0.0
84,la,2,0,2,0.0
85,herts,2,0,2,0.0
86,no,1,0,1,0.0
87,id,1,1,0,100.0
88,jp,1,0,1,0.0
89,ar,4,1,3,25.0
90,grenoble-inp,1,0,1,0.0
91,me,5,0,5,0.0
92,ucsd,1,0,1,0.0
93,northwestern,6,0,6,0.0
94,sh,1,0,1,0.0
95,mb,1,0,1,0.0
96,ufl,4,0,4,0.0
97,dcu,2,0,2,0.0
98,ache,3,0,3,0.0
99,qa,1,0,1,0.0
100,wi,2,0,2,0.0
101,is,1,0,1,0.0
102,se,1,0,1,0.0
103,spingalactic,1,0,1,0.0
104,pw,3,3,0,100.0
105,redbull,1,0,1,0.0
106,caltech,1,0,1,0.0
107,cfasociety,2,0,2,0.0
108,ua,1,0,1,0.0
109,chop,1,0,1,0.0
110,princeton,1,0,1,0.0
111,insead,4,0,4,0.0
112,frb,2,0,2,0.0
113,ng,1,0,1,0.0
114,qut,1,0,1,0.0
115,upenn,3,0,3,0.0
116,state,2,0,2,0.0
117,oh,2,0,2,0.0
118,io,2,0,2,0.0
119,cagbc,1,0,1,0.0
120,usc,1,0,1,0.0
121,im,1,0,1,0.0
122,uakron,1,0,1,0.0
123,qc,2,0,2,0.0
124,unitedway,1,0,1,0.0
125,mn,1,0,1,0.0
126,lacity,1,0,1,0.0
127,freeserve,1,0,1,0.0
128,pe,1,0,1,0.0
129,framingham,1,1,0,100.0
130,naz,1,0,1,0.0
131,nhs,1,0,1,0.0
132,wa,2,0,2,0.0
133,cuny,1,0,1,0.0
134,goethe,1,0,1,0.0
135,vc,1,0,1,0.0
136,za,1,0,1,0.0
137,sa,1,0,1,0.0
138,ashrae,1,0,1,0.0
139,hult,1,0,1,0.0
140,stcwdc,1,0,1,0.0
141,nshmba,1,0,1,0.0
142,do,1,0,1,0.0
143,by,1,0,1,0.0
144,canon,2,0,2,0.0
145,tw,1,0,1,0.0
146,wlu,1,0,1,0.0
147,am,1,0,1,0.0
148,af,1,0,1,0.0
149,cityofsacramento,1,0,1,0.0
150,ecu,1,0,1,0.0
151,cn,1,0,1,0.0
152,sccgov,1,0,1,0.0
153,gvsu,1,0,1,0.0
154,psr,1,0,1,0.0
155,ollusa,1,0,1,0.0
156,gwu,1,0,1,0.0
157,mo,1,0,1,0.0
