,variable,instances,pos_instances,neg_instances,percent_fraud
0,gmail,3109,347.0,2762.0,11.161145062721133
1,ruf,1,0.0,1.0,0.0
2,pvsd,4,0.0,4.0,0.0
3,irishtabletennis,1,0.0,1.0,0.0
4,artsandbusinesscouncil,3,0.0,3.0,0.0
5,bluegrassstallions,1,0.0,1.0,0.0
6,naboe,1,0.0,1.0,0.0
7,themagnetictheatre,19,0.0,19.0,0.0
8,credosf,1,0.0,1.0,0.0
9,sffsn,3,0.0,3.0,0.0
10,foragesf,6,0.0,6.0,0.0
11,dianagats,2,0.0,2.0,0.0
12,ccice,4,0.0,4.0,0.0
13,simplystylist,1,0.0,1.0,0.0
14,racetonowhere,35,0.0,35.0,0.0
15,comcast,60,2.0,58.0,3.3333333333333335
16,ipcybercrime,1,0.0,1.0,0.0
17,membersofmelange,1,0.0,1.0,0.0
18,ecufilmfestival,1,0.0,1.0,0.0
19,percussiononline,2,0.0,2.0,0.0
20,firstam,13,0.0,13.0,0.0
21,digitaleyemedia,1,0.0,1.0,0.0
22,yahoo,931,356.0,575.0,38.23845327604726
23,hotmail,462,127.0,335.0,27.48917748917749
24,tribune,7,0.0,7.0,0.0
25,facialesthetics,10,0.0,10.0,0.0
26,weplayers,1,0.0,1.0,0.0
27,mining,1,0.0,1.0,0.0
28,c3asheville,1,0.0,1.0,0.0
29,irtfcleveland,1,0.0,1.0,0.0
30,allthingsgomusic,1,0.0,1.0,0.0
31,maryrigg,1,0.0,1.0,0.0
32,sbcglobal,26,0.0,26.0,0.0
33,untci,1,0.0,1.0,0.0
34,managementservices,1,0.0,1.0,0.0
35,tritons,1,0.0,1.0,0.0
36,aol,204,46.0,158.0,22.54901960784314
37,luminabirth,3,0.0,3.0,0.0
38,middendorfsports,1,0.0,1.0,0.0
39,resource-solutions,2,0.0,2.0,0.0
40,girlsaspire,1,0.0,1.0,0.0
41,cox,17,3.0,14.0,17.647058823529413
42,ifa,1,0.0,1.0,0.0
43,bso,9,0.0,9.0,0.0
44,womenonfire,3,0.0,3.0,0.0
45,windstream,1,0.0,1.0,0.0
46,dr-l-music,1,0.0,1.0,0.0
47,andrew,1,0.0,1.0,0.0
48,sensualhealing,2,0.0,2.0,0.0
49,tecnocentersv,1,0.0,1.0,0.0
50,nycinv,2,0.0,2.0,0.0
51,non-productive,2,0.0,2.0,0.0
52,thetyee,1,0.0,1.0,0.0
53,scratch,1,0.0,1.0,0.0
54,sdcpll,9,0.0,9.0,0.0
55,goldenstatewrestling,1,0.0,1.0,0.0
56,gmu,4,0.0,4.0,0.0
57,ucl,7,0.0,7.0,0.0
58,greenmessage,1,0.0,1.0,0.0
59,cscout,1,0.0,1.0,0.0
60,siobahnday,1,0.0,1.0,0.0
61,post,6,2.0,4.0,33.333333333333336
62,yubaexpeditions,1,0.0,1.0,0.0
63,theedgeadvisorygroup,2,0.0,2.0,0.0
64,agorapartnerships,2,0.0,2.0,0.0
65,greatworldadventures,31,0.0,31.0,0.0
66,bsop,12,0.0,12.0,0.0
67,agiletraining,2,0.0,2.0,0.0
68,live,149,75.0,74.0,50.33557046979866
69,doctor,20,0.0,20.0,0.0
70,calvaryphx,1,0.0,1.0,0.0
71,nwfilmforum,2,0.0,2.0,0.0
72,richmondicezone,2,0.0,2.0,0.0
73,kineticevents,52,0.0,52.0,0.0
74,cecnc,1,0.0,1.0,0.0
75,greaterlouisville,1,0.0,1.0,0.0
76,glazerscamera,2,0.0,2.0,0.0
77,cyclefitchicks,4,0.0,4.0,0.0
78,uwcm,1,0.0,1.0,0.0
79,elimcs,1,0.0,1.0,0.0
80,inkfestlive,1,0.0,1.0,0.0
81,amabaltimore,4,0.0,4.0,0.0
82,motorcitybrewtours,4,0.0,4.0,0.0
83,savannahnow,2,0.0,2.0,0.0
84,mastrategiefinanciere,1,0.0,1.0,0.0
85,doanmgt,1,0.0,1.0,0.0
