,K,roc,brier,f1
0,2,0.9360368323754684,0.016251176443680102,0.9068549362195778
1,3,0.9413068919809513,0.01555377771029752,0.911580252379397
2,4,0.9404243734856162,0.01527498367334624,0.9126229324028771
3,5,0.9404975748098197,0.01506602197066361,0.9138985839817886
4,6,0.9418415768816792,0.015205735302848477,0.9135732802161511
5,7,0.9422289045594487,0.015065729988778162,0.9142379917687107
6,8,0.9414923775216882,0.015135708313989535,0.9133604054991759
7,9,0.9429221287820884,0.01513580564128468,0.913782399513455
8,10,0.9404932958601456,0.01576293406757045,0.9098605800378656
9,11,0.9433630355767164,0.014995751663566795,0.9145798177937186
10,12,0.9443981889711333,0.014926649284011754,0.9151670172708112
11,13,0.9462433695938156,0.014089683209387022,0.9195087939871396
12,14,0.9424046817810808,0.015414405023645666,0.9124430243881758
13,15,0.9431883452276445,0.01520466470260185,0.9134873534559766
14,16,0.9419664920627291,0.015553972364887814,0.9115484073666327
15,17,0.9435907909358423,0.015135562323046811,0.9140139838070297
16,18,0.9410842086236899,0.015275032336993812,0.9128257112664944
17,19,0.9422707339100918,0.015066216625253903,0.9141482277353609
18,20,0.940359137531775,0.015345497298680922,0.9122843548779029
19,21,0.9390312228347562,0.015833739674790577,0.9095806035086824
20,22,0.9454566364865314,0.014298790903012375,0.9186742054470226
21,23,0.9416500060004532,0.015554215683125686,0.9116435946136721
22,24,0.9410194181835261,0.015414551014588388,0.9121363009410247
23,25,0.9434485203269242,0.01485652496785766,0.9153230731228291
24,26,0.943264885434024,0.015066265288901473,0.914373304698221
25,27,0.9422234164259441,0.015136097623170124,0.9138127878406497
26,28,0.9470792217929397,0.014507606614752287,0.9180653631751795
27,29,0.9414776216419485,0.015205394657315458,0.9133955307223305
28,30,0.941318372525712,0.01548457800344733,0.9117612959420539
29,31,0.9404899569779699,0.015694220997196,0.9104136686021904
30,32,0.9391137260703545,0.015694026342605704,0.9103772165084626
31,33,0.9412506593350127,0.015623853362804039,0.9111100464663758
32,34,0.9452650949873425,0.014647271283289584,0.9169218275443368
33,35,0.9394600272787246,0.015693539706129966,0.9103643007720859
34,36,0.9423326603637939,0.014926308638478736,0.9149459729612687
35,37,0.9427201984989448,0.014856573631505235,0.9153531861609826
36,38,0.9392420095156172,0.016112436384446708,0.9080720342672203
37,39,0.94372049412744,0.014926454629421456,0.9151104203751054
38,40,0.9420174128673853,0.01555416701947811,0.9116388172822996
