,K,roc,brier,f1
0,2,0.9346812028486637,0.016181782082239617,0.9067373193992389
1,3,0.935740918311966,0.016181636091296893,0.9071529332082248
2,4,0.9411493858134568,0.015205491984610608,0.9131656752817392
3,5,0.9414866543318878,0.015205686639200902,0.9132968870382776
4,6,0.941033028426632,0.014786692633589013,0.9153055869654759
5,7,0.9425388108325377,0.01450789859663773,0.916952176162994
6,8,0.9430485224735474,0.014856573631505235,0.9152620756558256
7,9,0.940849662755187,0.0150664112798442,0.9139432633142199
8,10,0.9420833244503919,0.01471729827214853,0.9157233544304131
9,11,0.9410550446655318,0.015344329371139147,0.9126151860712115
10,12,0.9408956192570732,0.015623853362804039,0.9110750073087315
11,13,0.9425696882522774,0.01513580564128468,0.9139542681379897
12,14,0.9410006478975685,0.014856330313267363,0.9148711553560366
13,15,0.941246380490462,0.014996870927460992,0.9138864692037053
14,16,0.9416189522884915,0.014926843938602049,0.9145614259890109
15,17,0.9406376080212981,0.015484042703324019,0.9115837077868859
16,18,0.9415602717877318,0.015065486670540293,0.913945590856979
17,19,0.944123204273971,0.014856281649619787,0.9155337848835019
18,20,0.9393646286402767,0.01527464302781322,0.912550178855508
19,21,0.9452740689132078,0.014647417274232305,0.9167948614170249
20,22,0.9427965624131023,0.014717200944853381,0.9160732552047547
21,23,0.9422764570998924,0.014996384290985255,0.9143947830818375
22,24,0.9393084547584121,0.015344718680319742,0.9120929139192093
23,25,0.9427021037370293,0.014857060267980973,0.9152654359620593
24,26,0.942546012427624,0.015136097623170128,0.9137070545391724
25,27,0.9453154527501733,0.014577390285373363,0.9172341849465042
26,28,0.9396369256431996,0.015344426698434296,0.912223270994604
27,29,0.9392742137524586,0.01604236073194019,0.9086967602226327
28,30,0.9390402261426585,0.01583291239278182,0.9094295132012229
