,K,roc,brier,f1
0,2,0.9400497601353521,0.015902988045288335,0.9094102752143443
1,3,0.9410576148316233,0.015344816007614887,0.9126918363557056
2,4,0.9381293709065146,0.016251614416508266,0.9072025181571309
3,5,0.93837448673944,0.015832620410896375,0.9092541960255456
4,6,0.9420821445434748,0.01541455101458839,0.9122553498366006
5,7,0.9407600753475268,0.01590274472705047,0.9097345555762265
6,8,0.9359745779362368,0.016321641405367213,0.9065589646164197
7,9,0.9377063825815801,0.01639098710316012,0.906620098653773
8,10,0.9374222722652451,0.016251468425565543,0.9071744302262973
9,11,0.936060713874381,0.016251273770975246,0.906664806042766
10,12,0.9396649390764777,0.01597252839767154,0.9090095952916301
11,13,0.9380487869118804,0.015763031394865595,0.9096375803651814
12,14,0.9384151606243953,0.015693685697072687,0.9100492869997776
13,15,0.9374519992652284,0.01625166308015584,0.9070530718412744
14,16,0.9372470287034013,0.01597228507943367,0.90841163055342
15,17,0.9346968447098268,0.016740100110855787,0.9039801388705186
16,18,0.9406142601821742,0.015553875037592669,0.9113047901724325
17,19,0.9402885309725777,0.015484091366971594,0.9115092177834037
18,20,0.9381702504657291,0.016112241729856414,0.9079053515004905
19,21,0.9417650954393737,0.01534520531679548,0.9126635652863465
20,22,0.9412755444486199,0.014926843938602047,0.9147507687115027
21,23,0.939874041677794,0.015553680383002371,0.9109934352961929
22,24,0.938353527991063,0.01583305838372454,0.9094026393890214
23,25,0.9396059012081514,0.01604250672288291,0.9087251013193388
24,26,0.9379041809303578,0.016042312068292618,0.9082808779362408
25,27,0.9384936493486524,0.016251565752860693,0.9072851131581915
26,28,0.940759987201416,0.01590284205434562,0.9095376698555251
27,29,0.9357150588080156,0.016809494472296273,0.9040075642185765
28,30,0.9351702789437033,0.01653089508993529,0.9052064822239088
29,31,0.9355254071677539,0.016530359789811974,0.9054096699295666
30,32,0.9437087149791875,0.014926600620364178,0.9150393436451172
31,33,0.9379200284657798,0.016600094796785474,0.9055953546168436
32,34,0.9373335709441319,0.016391230421397986,0.9064141906438714
33,35,0.9351760362986632,0.016530895089935285,0.9050727023259689
34,36,0.9388561849471714,0.015554167019478113,0.9111515817071405
35,37,0.9381291016850593,0.01618183074588719,0.9074136575610083
36,38,0.9392276649843951,0.01618168475494447,0.9081137257519322
37,39,0.9388574528950757,0.01618197673682991,0.9074962023684486
38,40,0.9373807415180945,0.016321641405367213,0.9068480302426061
