,K,roc,brier,f1
0,2,0.9465249391260959,0.014229104559686451,0.9192431629126805
1,3,0.9544820827287153,0.013112711820691977,0.9264915378387395
2,4,0.9538084611604372,0.012415410414604543,0.929638436351353
3,5,0.9536933717215167,0.012624858753762916,0.9288139868118336
4,6,0.9525983235965783,0.012695080397212158,0.9280048846338419
5,7,0.9552204408613287,0.012415556405547267,0.9299539995027274
6,8,0.9517539723673032,0.012345578080335897,0.9298091747029436
7,9,0.9544771233141912,0.01241536175095697,0.9297960104117543
8,10,0.9544452764449162,0.012554685773961249,0.9291578383856954
9,11,0.9542282035324293,0.012275989064305118,0.930567766004421
10,12,0.9531573894908474,0.012345675407631044,0.9301333755224274
11,13,0.9586966518396182,0.011787795351843038,0.9338178027153516
12,14,0.9571261917385744,0.012136032413882376,0.9318268864731397
13,15,0.9581897406378739,0.011369044664469015,0.9358920687326637
14,16,0.9581958553603999,0.011438974326032813,0.9355213944257557
15,17,0.9556014529254355,0.012276670355371153,0.930684458820149
16,18,0.9587866505957962,0.010950780613570734,0.9382339160764259
17,19,0.9566213805903295,0.011718109008517111,0.9338912746712493
18,20,0.9564051645400378,0.011508709333006314,0.9349672959818424
